ID,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_product,prior_purchases,product_importance,gender,discount_percentage,weight_in_grams,reached_on_time,customer_rating_string,weight_in_kg_binned,prior_purchases_binned,user_segmentation
45,A,Ship,3,1,2462055,2,low,M,29,1328,No,Dissatisfied,1-2.5kg,2-4,Bronze
46,B,Ship,5,1,3424050,3,low,F,9,2944,No,Dissatisfied,2.5-4kg,2-4,Bronze
47,C,Ship,3,4,2755545,4,medium,F,32,1245,No,Satisfied,1-2.5kg,2-4,Bronze
48,E,Ship,5,1,2608800,2,low,M,32,1576,No,Dissatisfied,1-2.5kg,2-4,Bronze
49,D,Ship,5,4,3097950,2,medium,M,9,3753,No,Satisfied,2.5-4kg,2-4,Bronze
50,E,Ship,5,3,3521880,3,low,F,40,2146,No,Neutral,1-2.5kg,2-4,Bronze
51,A,Ship,4,1,2983815,3,low,M,37,2042,No,Dissatisfied,1-2.5kg,2-4,Bronze
52,B,Ship,4,4,2299005,3,low,M,22,1735,No,Satisfied,1-2.5kg,2-4,Bronze
53,C,Ship,4,3,2690325,3,low,F,44,1320,No,Neutral,1-2.5kg,2-4,Bronze
54,E,Ship,2,1,2771850,3,low,M,41,1128,No,Dissatisfied,1-2.5kg,2-4,Bronze
55,D,Ship,4,3,3309915,3,high,M,12,3539,No,Neutral,2.5-4kg,2-4,Bronze
56,E,Ship,2,5,4011030,5,low,M,46,2437,No,Satisfied,1-2.5kg,4-6,Silver
57,A,Ship,3,3,3880590,3,low,F,61,3096,No,Neutral,2.5-4kg,2-4,Bronze
58,B,Ship,3,3,3146865,3,medium,F,29,3453,No,Neutral,2.5-4kg,2-4,Bronze
59,C,Ship,5,5,2299005,3,high,M,41,1367,No,Satisfied,1-2.5kg,2-4,Bronze
60,E,Ship,4,1,2445750,3,high,F,17,1923,No,Dissatisfied,1-2.5kg,2-4,Bronze
61,D,Ship,3,1,3603405,3,low,F,64,2794,No,Dissatisfied,2.5-4kg,2-4,Bronze
62,E,Ship,3,3,2918595,3,medium,M,52,1158,No,Neutral,1-2.5kg,2-4,Bronze
63,A,Ship,5,1,1712025,6,medium,M,62,1292,No,Dissatisfied,1-2.5kg,4-6,Silver
64,B,Ship,3,1,2885985,3,medium,M,61,1880,No,Dissatisfied,1-2.5kg,2-4,Bronze
65,C,Ship,4,5,4255605,2,high,M,49,3045,No,Satisfied,2.5-4kg,2-4,Bronze
66,E,Ship,3,2,3293610,3,low,M,49,2881,No,Dissatisfied,2.5-4kg,2-4,Bronze
67,D,Ship,3,2,1777245,3,medium,F,15,1710,No,Dissatisfied,1-2.5kg,2-4,Bronze
68,E,Ship,3,3,2576190,3,low,F,6,1878,No,Neutral,1-2.5kg,2-4,Bronze
69,A,Ship,4,2,3766455,4,medium,F,6,2512,No,Dissatisfied,2.5-4kg,2-4,Bronze
70,B,Ship,3,5,3358830,3,medium,M,39,2929,No,Satisfied,2.5-4kg,2-4,Bronze
71,C,Ship,5,1,3049035,4,high,M,14,3849,No,Dissatisfied,2.5-4kg,2-4,Bronze
72,E,Ship,5,5,3750150,2,low,F,2,2229,No,Satisfied,1-2.5kg,2-4,Bronze
73,D,Ship,5,5,3782760,3,medium,F,33,2998,No,Satisfied,2.5-4kg,2-4,Bronze
74,E,Ship,4,5,3505575,3,medium,F,21,3984,No,Satisfied,2.5-4kg,2-4,Bronze
75,A,Ship,6,1,3880590,6,low,F,13,2442,No,Dissatisfied,1-2.5kg,4-6,Silver
76,B,Ship,4,1,4337130,3,low,F,23,3775,No,Dissatisfied,2.5-4kg,2-4,Bronze
77,C,Ship,2,3,2576190,2,medium,F,36,1788,No,Neutral,1-2.5kg,2-4,Bronze
78,E,Ship,3,3,1842465,3,low,F,43,1518,No,Neutral,1-2.5kg,2-4,Bronze
79,D,Ship,3,4,3636015,3,low,M,18,3959,No,Satisfied,2.5-4kg,2-4,Bronze
80,E,Ship,3,5,4190385,2,medium,F,56,3711,No,Satisfied,2.5-4kg,2-4,Bronze
81,A,Ship,3,4,2934900,2,medium,F,49,1942,No,Satisfied,1-2.5kg,2-4,Bronze
82,B,Ship,2,5,2152260,3,low,M,18,1759,No,Satisfied,1-2.5kg,2-4,Bronze
83,C,Ship,4,4,3538185,3,high,F,26,2875,No,Satisfied,2.5-4kg,2-4,Bronze
84,E,Ship,5,5,2641410,3,high,F,31,1364,No,Satisfied,1-2.5kg,2-4,Bronze
85,D,Ship,4,5,3212085,2,medium,F,40,2710,No,Satisfied,2.5-4kg,2-4,Bronze
86,E,Ship,3,4,3212085,3,medium,M,13,2148,No,Satisfied,1-2.5kg,2-4,Bronze
87,A,Ship,4,1,3016425,2,low,M,44,2910,No,Dissatisfied,2.5-4kg,2-4,Bronze
88,B,Ship,6,2,4532790,3,medium,F,3,2974,No,Dissatisfied,2.5-4kg,2-4,Bronze
89,C,Ship,3,3,3733845,3,low,M,49,2339,No,Neutral,1-2.5kg,2-4,Bronze
90,E,Ship,4,1,3032730,4,medium,F,57,3880,No,Dissatisfied,2.5-4kg,2-4,Bronze
91,D,Ship,5,3,2837070,6,high,F,41,1085,No,Neutral,1-2.5kg,4-6,Silver
92,E,Ship,5,5,4663230,3,low,F,18,3163,No,Satisfied,2.5-4kg,2-4,Bronze
93,A,Ship,4,4,2853375,2,medium,F,7,1188,No,Satisfied,1-2.5kg,2-4,Bronze
94,B,Ship,3,3,3570795,3,medium,F,17,3387,No,Neutral,2.5-4kg,2-4,Bronze
95,C,Ship,4,1,3472965,4,high,F,35,2343,No,Dissatisfied,1-2.5kg,2-4,Bronze
96,E,Ship,2,3,3831675,3,low,M,57,2034,No,Neutral,1-2.5kg,2-4,Bronze
97,D,Ship,3,3,2429445,2,medium,M,18,1225,No,Neutral,1-2.5kg,2-4,Bronze
98,E,Ship,4,1,4418655,2,medium,F,8,2401,No,Dissatisfied,1-2.5kg,2-4,Bronze
99,A,Ship,3,5,2347920,4,medium,M,5,1104,No,Satisfied,1-2.5kg,2-4,Bronze
100,B,Ship,4,2,2364225,2,medium,M,21,1617,No,Dissatisfied,1-2.5kg,2-4,Bronze
101,C,Ship,5,3,2331615,2,medium,M,59,1837,No,Neutral,1-2.5kg,2-4,Bronze
102,E,Ship,5,5,3701235,4,low,M,53,2624,No,Satisfied,2.5-4kg,2-4,Bronze
103,D,Ship,2,1,3472965,3,low,M,29,2732,No,Dissatisfied,2.5-4kg,2-4,Bronze
104,E,Ship,5,1,2347920,4,low,M,37,1658,No,Dissatisfied,1-2.5kg,2-4,Bronze
105,A,Ship,3,3,3554490,3,low,M,3,2255,No,Neutral,1-2.5kg,2-4,Bronze
106,B,Ship,4,2,2347920,3,medium,M,59,1588,No,Dissatisfied,1-2.5kg,2-4,Bronze
107,C,Ship,3,1,3880590,3,low,M,17,2624,No,Dissatisfied,2.5-4kg,2-4,Bronze
108,E,Ship,4,5,3521880,3,high,M,26,2053,No,Satisfied,1-2.5kg,2-4,Bronze
109,D,Ship,4,5,3880590,3,high,F,55,3257,No,Satisfied,2.5-4kg,2-4,Bronze
110,E,Ship,4,1,2299005,3,medium,M,47,1250,No,Dissatisfied,1-2.5kg,2-4,Bronze
111,A,Road,3,1,2576190,2,low,M,2,1284,No,Dissatisfied,1-2.5kg,2-4,Bronze
112,B,Road,4,2,3896895,3,low,F,65,3679,No,Dissatisfied,2.5-4kg,2-4,Bronze
113,C,Road,4,3,2853375,2,low,M,25,1816,No,Neutral,1-2.5kg,2-4,Bronze
114,E,Road,3,2,4288215,3,low,M,41,2817,No,Dissatisfied,2.5-4kg,2-4,Bronze
115,D,Road,3,5,2739240,2,high,M,50,1616,No,Satisfied,1-2.5kg,2-4,Bronze
116,E,Road,3,4,2869680,3,high,M,36,1779,No,Satisfied,1-2.5kg,2-4,Bronze
117,A,Road,4,1,2445750,4,high,M,60,1024,No,Dissatisfied,1-2.5kg,2-4,Bronze
118,B,Road,4,3,4320825,2,medium,F,31,2326,No,Neutral,1-2.5kg,2-4,Bronze
119,C,Road,2,5,4288215,3,low,F,5,2947,No,Satisfied,2.5-4kg,2-4,Bronze
120,E,Road,5,1,2364225,3,low,M,20,1387,No,Dissatisfied,1-2.5kg,2-4,Bronze
121,D,Road,4,2,2983815,3,low,F,33,2741,No,Dissatisfied,2.5-4kg,2-4,Bronze
122,E,Road,3,3,3342525,3,medium,F,19,2167,No,Neutral,1-2.5kg,2-4,Bronze
123,A,Road,4,2,2608800,3,low,M,64,1714,No,Dissatisfied,1-2.5kg,2-4,Bronze
124,B,Road,3,3,4108860,2,medium,F,48,2102,No,Neutral,1-2.5kg,2-4,Bronze
125,C,Road,5,5,3619710,3,low,M,10,2280,No,Satisfied,1-2.5kg,2-4,Bronze
126,E,Road,3,3,3309915,2,low,M,25,3607,No,Neutral,2.5-4kg,2-4,Bronze
127,D,Road,4,5,3587100,3,medium,M,40,3516,No,Satisfied,2.5-4kg,2-4,Bronze
128,E,Road,3,3,2396835,4,low,F,60,1722,No,Neutral,1-2.5kg,2-4,Bronze
129,A,Road,4,4,3261000,4,medium,M,16,2060,No,Satisfied,1-2.5kg,2-4,Bronze
130,B,Road,4,5,3652320,4,medium,M,21,2026,No,Satisfied,1-2.5kg,2-4,Bronze
131,C,Road,3,5,2918595,2,low,F,17,1364,No,Satisfied,1-2.5kg,2-4,Bronze
132,E,Road,3,4,2347920,3,low,M,50,1865,No,Satisfied,1-2.5kg,2-4,Bronze
133,D,Flight,5,2,4027335,3,low,M,17,3889,No,Dissatisfied,2.5-4kg,2-4,Bronze
134,E,Flight,5,4,4565400,6,medium,F,51,3582,No,Satisfied,2.5-4kg,4-6,Silver
135,A,Flight,3,3,2739240,2,medium,F,1,1829,No,Neutral,1-2.5kg,2-4,Bronze
136,B,Flight,3,5,2559885,3,medium,F,4,1889,No,Satisfied,1-2.5kg,2-4,Bronze
137,C,Flight,3,3,3081645,4,medium,F,51,2208,No,Neutral,1-2.5kg,2-4,Bronze
138,E,Flight,3,5,2641410,2,medium,M,7,1739,No,Satisfied,1-2.5kg,2-4,Bronze
139,D,Flight,4,1,3375135,5,low,M,48,2399,No,Dissatisfied,1-2.5kg,4-6,Silver
140,E,Flight,5,1,3864285,2,low,F,10,3860,No,Dissatisfied,2.5-4kg,2-4,Bronze
141,A,Flight,4,4,4304520,3,high,M,59,2020,No,Satisfied,1-2.5kg,2-4,Bronze
142,B,Flight,5,4,2429445,3,low,M,51,1645,No,Satisfied,1-2.5kg,2-4,Bronze
143,C,Flight,5,5,2641410,3,low,M,41,1462,No,Satisfied,1-2.5kg,2-4,Bronze
144,E,Flight,2,1,3342525,4,medium,F,63,2156,No,Dissatisfied,1-2.5kg,2-4,Bronze
145,D,Flight,2,1,2576190,3,medium,F,51,1540,No,Dissatisfied,1-2.5kg,2-4,Bronze
146,E,Flight,2,2,4043640,2,low,M,46,3707,No,Dissatisfied,2.5-4kg,2-4,Bronze
147,A,Flight,3,5,3114255,3,low,M,23,3750,No,Satisfied,2.5-4kg,2-4,Bronze
148,B,Flight,4,3,2380530,4,medium,F,24,1844,No,Neutral,1-2.5kg,2-4,Bronze
149,C,Flight,3,3,2201175,3,low,M,56,1490,No,Neutral,1-2.5kg,2-4,Bronze
150,E,Flight,5,1,2429445,3,low,M,40,1062,No,Dissatisfied,1-2.5kg,2-4,Bronze
151,D,Flight,4,4,3587100,2,medium,F,7,2551,No,Satisfied,2.5-4kg,2-4,Bronze
152,E,Flight,5,3,1597890,5,medium,M,44,1269,No,Neutral,1-2.5kg,4-6,Silver
153,A,Flight,3,4,1581585,4,low,M,32,1238,No,Satisfied,1-2.5kg,2-4,Bronze
154,B,Flight,3,3,2983815,2,low,M,53,3932,No,Neutral,2.5-4kg,2-4,Bronze
155,C,Ship,3,3,2641410,3,medium,F,8,1869,No,Neutral,1-2.5kg,2-4,Bronze
156,E,Ship,5,1,1858770,4,low,F,47,1443,No,Dissatisfied,1-2.5kg,2-4,Bronze
157,D,Ship,6,3,4483875,5,low,M,41,2491,No,Neutral,1-2.5kg,4-6,Silver
158,E,Ship,3,2,3309915,2,medium,F,39,3845,No,Dissatisfied,2.5-4kg,2-4,Bronze
159,A,Ship,5,5,3342525,2,high,M,65,3671,No,Satisfied,2.5-4kg,2-4,Bronze
160,B,Ship,3,3,2429445,3,low,F,63,1946,No,Neutral,1-2.5kg,2-4,Bronze
161,C,Ship,2,2,1826160,4,medium,M,56,1138,No,Dissatisfied,1-2.5kg,2-4,Bronze
162,E,Ship,3,1,3375135,3,medium,F,56,3482,No,Dissatisfied,2.5-4kg,2-4,Bronze
163,D,Ship,4,1,4255605,4,low,F,58,3427,No,Dissatisfied,2.5-4kg,2-4,Bronze
164,E,Ship,5,2,4467570,3,medium,M,6,3375,No,Dissatisfied,2.5-4kg,2-4,Bronze
165,A,Ship,3,5,2299005,2,low,M,52,1692,No,Satisfied,1-2.5kg,2-4,Bronze
166,B,Ship,3,3,2706630,4,medium,F,17,1498,No,Neutral,1-2.5kg,2-4,Bronze
167,C,Ship,5,2,2299005,3,high,F,34,1020,No,Dissatisfied,1-2.5kg,2-4,Bronze
168,E,Ship,4,5,2478360,3,low,M,43,1709,No,Satisfied,1-2.5kg,2-4,Bronze
169,D,Ship,4,2,4076250,3,low,F,53,2478,No,Dissatisfied,1-2.5kg,2-4,Bronze
170,E,Ship,4,3,2625105,3,medium,F,28,1809,No,Neutral,1-2.5kg,2-4,Bronze
171,A,Ship,4,3,3016425,3,medium,F,10,2263,No,Neutral,1-2.5kg,2-4,Bronze
172,B,Ship,4,4,2869680,4,high,F,52,1096,No,Satisfied,1-2.5kg,2-4,Bronze
173,C,Ship,3,4,2413140,3,low,M,56,1550,No,Satisfied,1-2.5kg,2-4,Bronze
174,E,Ship,3,2,4402350,3,low,F,63,2751,No,Dissatisfied,2.5-4kg,2-4,Bronze
175,D,Ship,3,3,3945810,3,low,F,51,3935,No,Neutral,2.5-4kg,2-4,Bronze
176,E,Ship,4,4,2445750,2,medium,M,3,1285,No,Satisfied,1-2.5kg,2-4,Bronze
177,A,Ship,4,5,3130560,3,high,M,20,3872,No,Satisfied,2.5-4kg,2-4,Bronze
178,B,Ship,4,5,1891380,3,medium,M,54,1314,No,Satisfied,1-2.5kg,2-4,Bronze
179,C,Ship,3,3,3130560,3,medium,F,2,3995,No,Neutral,2.5-4kg,2-4,Bronze
180,E,Ship,5,5,4157775,4,medium,M,3,3440,No,Satisfied,2.5-4kg,2-4,Bronze
181,D,Ship,4,1,2625105,7,medium,F,18,1294,No,Dissatisfied,1-2.5kg,6-10,Gold
182,E,Ship,4,5,2559885,3,low,M,20,1487,No,Satisfied,1-2.5kg,2-4,Bronze
183,A,Ship,3,2,2674020,10,high,F,28,1940,No,Dissatisfied,1-2.5kg,6-10,Gold
184,B,Ship,3,5,2641410,7,medium,F,16,1052,No,Satisfied,1-2.5kg,6-10,Gold
185,C,Ship,3,3,2380530,2,low,M,50,1486,No,Neutral,1-2.5kg,2-4,Bronze
186,E,Ship,3,2,3407745,3,medium,M,54,3001,No,Dissatisfied,2.5-4kg,2-4,Bronze
187,D,Ship,5,4,2184870,2,medium,F,55,1386,No,Satisfied,1-2.5kg,2-4,Bronze
188,E,Ship,2,1,3619710,2,medium,M,5,3778,No,Dissatisfied,2.5-4kg,2-4,Bronze
189,A,Ship,2,5,2266395,3,low,F,27,1233,No,Satisfied,1-2.5kg,2-4,Bronze
190,B,Ship,2,4,2184870,3,low,F,42,1415,No,Satisfied,1-2.5kg,2-4,Bronze
191,C,Ship,2,5,2119650,3,low,M,16,1092,No,Satisfied,1-2.5kg,2-4,Bronze
192,E,Ship,2,5,2168565,3,low,F,62,1596,No,Satisfied,1-2.5kg,2-4,Bronze
193,D,Ship,2,4,2282700,3,low,F,7,1411,No,Satisfied,1-2.5kg,2-4,Bronze
194,E,Ship,2,2,2576190,3,low,M,28,1968,No,Dissatisfied,1-2.5kg,2-4,Bronze
195,A,Ship,4,2,4402350,4,low,F,46,1736,No,Dissatisfied,1-2.5kg,2-4,Bronze
196,B,Ship,2,5,2282700,3,low,F,30,1030,No,Satisfied,1-2.5kg,2-4,Bronze
197,C,Ship,2,2,2201175,3,low,M,15,1339,No,Dissatisfied,1-2.5kg,2-4,Bronze
198,E,Ship,2,3,2217480,3,low,F,19,1568,No,Neutral,1-2.5kg,2-4,Bronze
199,D,Ship,2,3,2315310,3,medium,F,38,7640,No,Neutral,6-8kg,2-4,Bronze
200,E,Ship,2,2,2510970,3,medium,M,38,7846,No,Dissatisfied,6-8kg,2-4,Bronze
201,A,Ship,2,3,2266395,3,low,M,9,1471,No,Neutral,1-2.5kg,2-4,Bronze
202,B,Ship,2,3,2608800,3,low,F,43,1251,No,Neutral,1-2.5kg,2-4,Bronze
203,C,Ship,2,4,2184870,3,low,M,58,1067,No,Satisfied,1-2.5kg,2-4,Bronze
204,E,Ship,5,3,2625105,5,high,M,48,1883,No,Neutral,1-2.5kg,4-6,Silver
205,D,Ship,2,5,2527275,3,low,M,23,1602,No,Satisfied,1-2.5kg,2-4,Bronze
206,E,Ship,2,3,2364225,3,medium,F,24,7588,No,Neutral,6-8kg,2-4,Bronze
207,A,Ship,2,2,2559885,3,low,M,1,1477,No,Dissatisfied,1-2.5kg,2-4,Bronze
208,B,Ship,2,2,2608800,3,low,M,48,1691,No,Dissatisfied,1-2.5kg,2-4,Bronze
209,C,Ship,2,4,2478360,3,low,M,55,1498,No,Satisfied,1-2.5kg,2-4,Bronze
210,E,Ship,2,5,2413140,3,high,F,11,1502,No,Satisfied,1-2.5kg,2-4,Bronze
211,D,Ship,2,1,2070735,3,low,F,15,1522,No,Dissatisfied,1-2.5kg,2-4,Bronze
212,E,Ship,2,5,2510970,3,low,F,21,1113,No,Satisfied,1-2.5kg,2-4,Bronze
213,A,Ship,2,5,2070735,3,low,M,44,1341,No,Satisfied,1-2.5kg,2-4,Bronze
214,B,Ship,2,5,2608800,3,medium,F,31,7401,No,Satisfied,6-8kg,2-4,Bronze
215,C,Ship,2,4,2103345,3,low,F,48,1219,No,Satisfied,1-2.5kg,2-4,Bronze
216,E,Ship,2,5,2576190,3,low,F,40,1722,No,Satisfied,1-2.5kg,2-4,Bronze
217,D,Ship,4,3,3016425,3,medium,M,3,3131,No,Neutral,2.5-4kg,2-4,Bronze
218,E,Ship,4,4,2869680,4,high,F,63,1293,No,Satisfied,1-2.5kg,2-4,Bronze
219,A,Ship,3,4,2413140,3,low,M,37,1523,No,Satisfied,1-2.5kg,2-4,Bronze
220,B,Ship,3,5,4402350,3,low,M,60,3885,No,Satisfied,2.5-4kg,2-4,Bronze
221,C,Ship,3,4,3945810,3,low,M,29,2381,No,Satisfied,1-2.5kg,2-4,Bronze
222,E,Ship,4,3,2445750,2,medium,M,31,1588,No,Neutral,1-2.5kg,2-4,Bronze
223,D,Ship,4,2,3130560,3,high,M,4,2061,No,Dissatisfied,1-2.5kg,2-4,Bronze
224,E,Ship,4,5,1891380,3,medium,F,9,1314,No,Satisfied,1-2.5kg,2-4,Bronze
225,A,Ship,3,4,3130560,3,medium,F,31,3331,No,Satisfied,2.5-4kg,2-4,Bronze
226,B,Ship,5,4,4157775,4,medium,F,38,2771,No,Satisfied,2.5-4kg,2-4,Bronze
227,C,Ship,4,3,2625105,7,medium,M,63,1496,No,Neutral,1-2.5kg,6-10,Gold
228,E,Ship,4,2,2559885,3,low,F,48,1393,No,Dissatisfied,1-2.5kg,2-4,Bronze
229,D,Ship,3,2,2674020,10,high,M,14,1375,No,Dissatisfied,1-2.5kg,6-10,Gold
230,E,Ship,3,3,2641410,7,medium,F,42,1278,No,Neutral,1-2.5kg,6-10,Gold
231,A,Ship,3,1,2380530,2,low,F,54,1528,No,Dissatisfied,1-2.5kg,2-4,Bronze
232,B,Ship,3,4,3407745,3,medium,F,60,2240,No,Satisfied,1-2.5kg,2-4,Bronze
233,C,Ship,5,5,2184870,2,medium,M,53,1088,No,Satisfied,1-2.5kg,2-4,Bronze
234,E,Ship,2,1,3619710,2,medium,M,58,3626,No,Dissatisfied,2.5-4kg,2-4,Bronze
235,D,Ship,2,1,2266395,3,low,F,39,1582,No,Dissatisfied,1-2.5kg,2-4,Bronze
236,E,Ship,2,2,2184870,3,low,M,38,1352,No,Dissatisfied,1-2.5kg,2-4,Bronze
237,A,Ship,2,3,2119650,3,low,F,48,1801,No,Neutral,1-2.5kg,2-4,Bronze
238,B,Ship,2,2,2168565,3,low,M,5,1268,No,Dissatisfied,1-2.5kg,2-4,Bronze
239,C,Ship,2,3,2282700,3,low,F,23,1372,No,Neutral,1-2.5kg,2-4,Bronze
240,E,Ship,2,3,2576190,3,low,M,10,1515,No,Neutral,1-2.5kg,2-4,Bronze
241,D,Ship,4,5,4402350,4,low,M,65,1818,No,Satisfied,1-2.5kg,2-4,Bronze
242,E,Ship,2,4,2282700,3,low,F,33,1278,No,Satisfied,1-2.5kg,2-4,Bronze
243,A,Ship,2,2,2201175,3,low,M,58,1734,No,Dissatisfied,1-2.5kg,2-4,Bronze
244,B,Ship,2,4,2217480,3,low,M,43,1958,No,Satisfied,1-2.5kg,2-4,Bronze
245,C,Ship,2,1,2315310,3,medium,F,8,6064,No,Dissatisfied,6-8kg,2-4,Bronze
246,E,Ship,2,4,2510970,3,medium,F,48,7684,No,Satisfied,6-8kg,2-4,Bronze
247,D,Ship,2,3,2266395,3,low,F,3,1788,No,Neutral,1-2.5kg,2-4,Bronze
248,E,Road,2,4,2608800,3,low,F,50,1030,No,Satisfied,1-2.5kg,2-4,Bronze
249,A,Road,2,2,2184870,3,low,F,38,1530,No,Dissatisfied,1-2.5kg,2-4,Bronze
250,B,Road,5,5,2625105,5,high,F,54,1511,No,Satisfied,1-2.5kg,4-6,Silver
251,C,Road,2,3,2527275,3,low,F,45,1639,No,Neutral,1-2.5kg,2-4,Bronze
252,E,Road,2,2,2364225,3,medium,F,5,6102,No,Dissatisfied,6-8kg,2-4,Bronze
253,D,Road,2,1,2559885,3,low,M,58,1930,No,Dissatisfied,1-2.5kg,2-4,Bronze
254,E,Road,2,5,2608800,3,low,F,19,1399,No,Satisfied,1-2.5kg,2-4,Bronze
255,A,Road,2,2,2478360,3,low,F,61,1800,No,Dissatisfied,1-2.5kg,2-4,Bronze
256,B,Road,2,2,2413140,3,high,F,35,1349,No,Dissatisfied,1-2.5kg,2-4,Bronze
257,C,Road,2,2,2070735,3,low,M,13,1128,No,Dissatisfied,1-2.5kg,2-4,Bronze
258,E,Road,2,2,2103345,3,medium,F,22,6614,No,Dissatisfied,6-8kg,2-4,Bronze
259,D,Road,2,3,2576190,3,low,F,13,1245,No,Neutral,1-2.5kg,2-4,Bronze
260,E,Road,2,4,2396835,3,low,M,5,1920,No,Satisfied,1-2.5kg,2-4,Bronze
261,A,Road,2,5,2592495,3,low,F,49,1621,No,Satisfied,1-2.5kg,2-4,Bronze
